ID,nrpts,area,density,ecc,center_1,center_2
471,62,0.02478982,2501.027,0.8112709,41.0457,21.51371
473,114,0.04428459,2574.259,0.7867544,26.35972,37.45351
474,54,0.01859065,2904.686,0.7542139,42.57207,25.45375
475,444,0.1121553,3958.797,0.6838582,27.34547,34.61074
477,285,0.08671941,3286.461,0.5647554,18.928,25.02532
478,69,0.02521533,2736.43,0.6033434,26.61508,26.45201
479,97,0.03686769,2631.03,0.8289784,24.33271,23.41269
480,220,0.09413814,2336.991,0.8026384,24.41851,31.42447
485,145,0.05331324,2719.775,0.7872483,31.61273,28.34836
486,60,0.02258087,2657.116,0.7255703,19.73693,32.27984
494,90,0.02774247,3244.124,0.7772608,27.52373,38.96483
495,62,0.01342842,4617.072,0.3302684,36.73343,23.43502
499,69,0.02505486,2753.957,0.6332769,28.70193,18.46834
504,52,0.02175913,2389.801,0.6872102,19.2216,38.29994
505,99,0.04519176,2190.665,0.6657862,31.4363,33.90639
508,170,0.05785029,2938.62,0.5059203,21.3193,32.19573
511,61,0.01772155,3442.137,0.8208748,24.59019,38.65586
513,89,0.03886318,2290.085,0.6962857,31.48142,36.83155
515,69,0.02585688,2668.536,0.757685,18.69983,29.135
516,193,0.05397864,3575.489,0.7806649,17.7312,20.5874
517,101,0.0309636,3261.895,0.8407559,21.52182,28.3308
520,70,0.01498009,4672.869,0.507646,20.03245,26.57627
521,62,0.02348861,2639.578,0.8388935,30.0029,30.72997
526,50,0.01942078,2574.562,0.573255,38.90825,29.7446
527,467,0.1750433,2667.912,0.606436,26.66456,16.9001
528,89,0.03385938,2628.519,0.7536316,20.09719,28.49469
529,81,0.02402135,3372,0.3513843,26.14514,34.69127
530,75,0.03548418,2113.618,0.6557818,37.30395,36.47122
532,151,0.0547068,2760.168,0.7833518,20.7496,23.94702
534,80,0.03143368,2545.041,0.5105963,30.18782,35.06567
535,63,0.01989433,3166.731,0.6191279,28.69602,39.48575
536,227,0.06815941,3330.428,0.5343883,32.69667,32.12692
537,95,0.03702543,2565.804,0.5444215,36.73318,30.3391
538,51,0.01706387,2988.771,0.7171209,35.00043,28.03167
540,67,0.02774281,2415.04,0.4831417,37.16829,36.70992
541,81,0.02964969,2731.901,0.9044572,34.60355,19.89264
543,89,0.02667631,3336.294,0.6094103,18.42299,20.30078
545,278,0.06831654,4069.293,0.822,34.63279,30.52169
547,143,0.05030505,2842.657,0.5337543,33.70494,31.4188
548,53,0.02222139,2385.089,0.4989641,36.98041,30.6456
549,66,0.01937209,3406.964,0.8446559,22.73407,29.74215
550,80,0.02712877,2948.898,0.798087,23.14179,15.71018
553,105,0.04762566,2204.694,0.8610534,29.06986,34.24157
554,165,0.06011527,2744.727,0.8059475,33.40731,40.09387
558,130,0.04397731,2956.07,0.6712972,39.78511,32.30894
561,101,0.03892127,2594.982,0.7668831,19.31808,18.02885
563,62,0.01300533,4767.278,0.8543937,23.97303,24.96044
564,97,0.04749246,2042.429,0.7155442,25.74274,34.90792
565,52,0.01932291,2691.106,0.8111067,25.94604,41.6091
567,72,0.02929036,2458.147,0.3016326,25.04847,39.41582
572,76,0.02960143,2567.444,0.5574526,25.264,31.3245
576,79,0.01394008,5667.113,0.7063611,27.88965,17.44547
577,77,0.02672431,2881.272,0.7120023,24.90714,36.45535
579,91,0.01751256,5196.27,0.5440542,27.68445,43.98263
580,64,0.01592169,4019.674,0.7096522,20.38069,17.97186
581,88,0.0297428,2958.699,0.5683404,22.94243,24.91778
583,55,0.02139033,2571.256,0.8398051,30.58,34.5092
585,70,0.02477738,2825.158,0.4538836,30.11943,24.76237
590,69,0.01393576,4951.292,0.6327975,20.30892,16.47524
592,145,0.0513653,2822.917,0.8642904,29.32124,15.22615
593,55,0.02061525,2667.928,0.8048149,31.26424,35.56415
595,103,0.02375089,4336.68,0.5180944,41.45755,21.67723
596,53,0.01795959,2951.07,0.7140886,26.40505,37.66957
597,62,0.01927328,3216.89,0.8461149,30.62826,42.63645
598,148,0.05873561,2519.766,0.842057,23.83785,31.39188
602,81,0.02170343,3732.129,0.4897219,21.7812,31.25086
